admin,GNI_2010_mil,CO2_2010,POP_2010,GNI_PC_2010,CO2_PC_2010,region_wb,r_value,g_value,b_value
Ireland,191542,40000,4474356,42810,8.9398,Europe & Central Asia,191,91,23
Iran,315776,571612,74462314,4290,7.6765,Middle East & North Africa,127,201,127
Iraq,135680,114667,30962380,4380,3.7034,Middle East & North Africa,127,201,127
Iceland,10781,1962,318041,33900,6.1685,Europe & Central Asia,191,91,23
Israel,200184,70656,7623600,26260,9.268,Middle East & North Africa,127,201,127
Italy,2148137,406307,60483385,35520,6.7177,Europe & Central Asia,191,91,23
Jamaica,12297,7158,2701200,4550,2.6499,Latin America & Caribbean,253,192,134
Jordan,25008,20821,6046000,4140,3.4438,Middle East & North Africa,127,201,127
Japan,5376611,1170715,127450459,42190,9.1857,East Asia & Pacific,56,108,176
Kazakhstan,121369,248729,16323287,7440,15.2377,Europe & Central Asia,191,91,23
Kenya,32769,12427,40909194,800,0.3038,Sub-Saharan Africa,240,2,127
Kyrgyzstan,4597,6399,5447900,840,1.1746,Europe & Central Asia,191,91,23
Cambodia,10685,4180,14364931,740,0.291,East Asia & Pacific,56,108,176
Kiribati,194,62,97743,1980,0.6378,East Asia & Pacific,56,108,176
Saint Kitts and Nevis,641,249,52352,12250,4.7631,Latin America & Caribbean,253,192,134
South Korea,974371,567567,49410000,19720,11.4869,East Asia & Pacific,56,108,176
Kuwait,131934,93696,2991580,44100,31.3197,Middle East & North Africa,127,201,127
Laos,6246,1874,6395713,980,0.293,East Asia & Pacific,56,108,176
Lebanon,36292,20403,4341092,8360,4.7,Middle East & North Africa,127,201,127
Liberia,1053,799,3957990,270,0.202,Sub-Saharan Africa,240,2,127
Libya,77140,59035,6040612,12930,9.773,Middle East & North Africa,127,201,127
Saint Lucia,1164,403,177397,6560,2.2738,Latin America & Caribbean,253,192,134
Sri Lanka,46762,12710,20653000,2260,0.6154,South Asia,190,174,212
Lesotho,2344,18,2008921,1170,0.0091,Sub-Saharan Africa,240,2,127
Lithuania,38184,13561,3286820,11620,4.1257,Europe & Central Asia,191,91,23
Luxembourg,36343,10829,506953,71690,21.3603,Europe & Central Asia,191,91,23
Latvia,26537,7616,2239008,11850,3.4017,Europe & Central Asia,191,91,23
Macao S.A.R,24807,1030,534626,46400,1.9274,East Asia & Pacific,56,108,176
Morocco,92550,50608,31642360,2880,1.5994,Middle East & North Africa,127,201,127
Moldova,6477,4855,3562062,1820,1.363,Europe & Central Asia,191,91,23
Madagascar,8856,2013,21079532,420,0.0955,Sub-Saharan Africa,240,2,127
Maldives,1787,1074,325694,5490,3.2989,South Asia,190,174,212
Mexico,1026115,443674,117886404,8700,3.7636,Latin America & Caribbean,253,192,134
Marshall Islands,198,103,52428,3780,1.9584,East Asia & Pacific,56,108,176
Macedonia,9624,10873,2102216,4580,5.172,Europe & Central Asia,191,91,23
Mali,9207,623,13985961,660,0.0446,Sub-Saharan Africa,240,2,127
Malta,7747,2589,415995,18620,6.2234,Middle East & North Africa,127,201,127
Montenegro,4133,2582,620078,6670,4.1633,Europe & Central Asia,191,91,23
Mongolia,5155,11511,2712738,1900,4.2432,East Asia & Pacific,56,108,176
Mozambique,10256,2882,23967265,430,0.1203,Sub-Saharan Africa,240,2,127
Mauritania,3541,2215,3609420,980,0.6136,Sub-Saharan Africa,240,2,127
Mauritius,9961,4118,1280924,7780,3.2149,Sub-Saharan Africa,240,2,127
Malawi,4624,1239,15013694,310,0.0826,Sub-Saharan Africa,240,2,127
Malaysia,230514,216804,28275835,8150,7.6675,East Asia & Pacific,56,108,176
