id,elev,lat,lon
187,989.25,-117.47727,34.293211
188,988.55,-117.477354,34.293099
189,992.29,-117.477328,34.292905
190,991.58,-117.477382,34.292845
191,995.55,-117.477346,34.292781
192,992.56,-117.477432,34.292734
193,994.17,-117.477454,34.29261
194,991.27,-117.477546,34.292609
195,991.4,-117.477573,34.292572
196,994.99,-117.477593,34.292431
197,996.67,-117.477563,34.292324
198,996.71,-117.477588,34.29227
199,997.12,-117.477634,34.292271
200,996.5,-117.477755,34.292359
201,996.65,-117.477816,34.292358
202,999.69,-117.477953,34.292275
203,999.55,-117.478056,34.292357
204,1001.58,-117.478143,34.292363
205,1001.58,-117.478165,34.292513
206,1011.01,-117.478311,34.292654
207,1009.14,-117.478288,34.292718
208,1002.86,-117.478181,34.292789
209,999.03,-117.478082,34.292763
210,996.63,-117.477938,34.292775
211,1007.13,-117.478219,34.29288
212,1013.28,-117.478382,34.292813
213,1015.97,-117.478444,34.292634
214,1016.27,-117.478416,34.292548
215,1016.32,-117.478482,34.292346
216,1011.85,-117.478338,34.292102
217,1013.33,-117.478378,34.291929
218,1012.96,-117.478224,34.29184
219,1015.56,-117.478213,34.291701
220,1016.63,-117.478242,34.291635
221,1022.36,-117.477988,34.291483
222,1028.21,-117.477815,34.291342
223,1027.72,-117.477663,34.291131
224,1025.56,-117.477431,34.29091
225,1027.1,-117.477394,34.290783
226,1030.04,-117.477464,34.290665
227,1036.83,-117.477815,34.290513
228,1037.91,-117.477943,34.290491
229,1042.2,-117.478076,34.290408
230,1046.51,-117.478288,34.29038
231,1046.63,-117.478457,34.290411
232,1049.94,-117.4784,34.290343
233,1047.73,-117.478444,34.290224
234,1038.13,-117.478669,34.290022
235,1039.98,-117.478967,34.289585
236,1043.2,-117.478976,34.28939
237,1048.37,-117.478932,34.289195
238,1052.55,-117.478736,34.288947
239,1058.44,-117.478773,34.288737
240,1060.66,-117.478746,34.288554
241,1065.66,-117.479106,34.28839
242,1069.62,-117.479288,34.288456
243,1068.67,-117.47916,34.288464
244,1068.18,-117.479061,34.288526
