elev,xcoord,ycoord,id,dist,dist_total
1001.06,-116.528165,32.648978,165,488.281146622,107144.565255154
948.98,-116.532297,32.651655,166,488.281146622,107632.846401776
949.26,-116.539862,32.653156,167,648.588677355,108281.435079131
926.87,-116.547051,32.655937,168,218.438872621,108499.873951752
884.93,-116.547576,32.657856,169,218.438872621,108718.312824373
793.85,-116.544656,32.65737,170,275.204151123,108993.516975496
740.75,-116.543781,32.662304,171,361.484831148,109355.001806644
830.51,-116.540815,32.664385,172,361.484831148,109716.486637792
942.65,-116.536942,32.66585,173,397.977572659,110114.464210451
982.78,-116.532507,32.671787,174,695.688138482,110810.152348933
1065.13,-116.525123,32.671197,175,652.559744054,111462.712092987
1053.82,-116.520086,32.675256,176,652.559744054,112115.271837041
1020.7,-116.523971,32.680886,177,722.908722896,112838.180559937
932.99,-116.516611,32.683528,178,749.87980949,113588.060369427
960.86,-116.505418,32.691229,179,952.428982643,114540.48935207
987.33,-116.497586,32.696697,180,676.889201624,115217.378553694
1052.05,-116.495426,32.702521,181,676.889201624,115894.267755318
1007.52,-116.498929,32.710508,182,944.687242591,116838.954997909
939.58,-116.496098,32.720645,183,1155.09325621,117994.048254119
969.57,-116.486208,32.728123,184,902.035603407,118896.083857526
975.71,-116.478829,32.733344,185,635.845094426,119531.928951952
1052.88,-116.472821,32.730682,186,635.845094426,120167.774046378
1138.76,-116.465885,32.738286,187,989.231804425,121157.005850803
1167.9,-116.462265,32.746665,188,989.231804425,122146.237655228
1205.53,-116.452845,32.747251,189,855.467512559,123001.705167787
1272.03,-116.444582,32.750529,190,855.467512559,123857.172680346
1296.18,-116.438292,32.762739,191,1120.111901533,124977.284581879
1355.38,-116.438854,32.772828,192,770.410971372,125747.695553251
1467.9,-116.437352,32.779658,193,770.410971372,126518.106524623
1475.3,-116.432873,32.7891,194,789.562367552,127307.668892175
1601.66,-116.426749,32.793992,195,789.562367552,128097.231259727
1619.96,-116.422154,32.801323,196,919.908694311,129017.139954038
1592.46,-116.421009,32.812387,197,969.684909263,129986.824863301
1693.31,-116.415362,32.819716,198,969.684909263,130956.509772564
1800.41,-116.417329,32.828793,199,1023.362872499,131979.872645063
