id,elev,lon,lat,dist,dist_total
1160,912.44,-116.547992,32.657396,64.229124167,12422.571526764
1180,896.94,-116.55064,32.659899,372.503378436,12795.0749052
1200,884.93,-116.547576,32.657856,64.229124167,12859.304029367
1220,862.46,-116.542576,32.654747,137.728500662,12997.032530029
1240,814.98,-116.543253,32.655849,137.728500662,13134.761030691
1260,757.64,-116.545383,32.659042,210.996731372,13345.757762063
1280,712.28,-116.545584,32.660937,210.996731372,13556.754493435
1300,740.75,-116.543781,32.662304,217.233533162,13773.988026597
1320,782.83,-116.543487,32.664247,217.233533161,13991.221559758
1340,809.24,-116.541227,32.664125,198.70067229,14189.922232048
1360,854.45,-116.539113,32.664238,204.529594199,14394.451826247
1380,912.52,-116.538311,32.665953,128.924463766,14523.376290013
1400,942.65,-116.536942,32.66585,128.924463766,14652.300753779
1420,970.93,-116.534704,32.666358,217.36020308,14869.660956859
1440,974.94,-116.532675,32.670263,206.67635002,15076.337306879
1460,1008.28,-116.531361,32.671759,206.676350019,15283.013656898
1480,1040.42,-116.528876,32.672323,241.332693093,15524.346349991
1500,1065.13,-116.525123,32.671197,336.456755684,15860.803105675
1520,1039.34,-116.521536,32.671186,319.649572216,16180.452677891
1540,1041.29,-116.519844,32.673688,297.999058434,16478.451736325
1560,1065.23,-116.518989,32.676276,242.684644802,16721.136381127
1580,1043.19,-116.520055,32.67827,242.684644802,16963.821025929
1600,1020.7,-116.523971,32.680886,312.242802436,17276.063828365
1620,975.4,-116.521108,32.682323,312.242802437,17588.306630802
1640,942.58,-116.517561,32.682713,385.761107406,17974.067738208
1660,930.29,-116.516551,32.686085,385.761107406,18359.828845614
1680,937.08,-116.512424,32.689767,562.608332758,18922.437178372
1700,960.86,-116.505418,32.691229,538.155521074,19460.592699446
1720,969.69,-116.500503,32.693734,339.332711553,19799.925410999
1740,974.43,-116.498068,32.696956,210.633161741,20010.55857274
1760,1000.83,-116.497307,32.695169,210.633161742,20221.191734482
1780,1027.34,-116.495264,32.696787,262.485353072,20483.677087554
1800,1052.05,-116.495426,32.702521,519.574638719,21003.251726273
1820,1048.69,-116.497134,32.706978,307.191303022,21310.443029295
1840,1030.12,-116.49883,32.709348,307.191303022,21617.634332317
1860,983.26,-116.49832,32.712232,279.199254864,21896.833587181
1880,933.19,-116.498479,32.714746,279.199254864,22176.032842045
1900,939.58,-116.496098,32.720645,691.22967688,22867.262518925
1920,959.68,-116.493961,32.729504,542.220020846,23409.482539771
1940,958.05,-116.488203,32.729037,427.948886361,23837.431426132
1960,970.69,-116.483648,32.728777,427.948886361,24265.380312493
1980,966.09,-116.481024,32.733028,208.708184485,24474.088496978
2000,975.71,-116.478829,32.733344,208.708184485,24682.796681463
2020,1002.94,-116.474907,32.730162,235.755282631,24918.551964094
2040,1032.23,-116.472541,32.729441,247.511166978,25166.063131072
2060,1072.76,-116.471954,32.731617,247.511166978,25413.57429805
2080,1099.35,-116.468414,32.733754,407.760922988,25821.335221038
2100,1138.76,-116.465885,32.738286,341.729501825,26163.064722863
2120,1158.49,-116.46393,32.740887,341.729501825,26504.794224688
2140,1156.81,-116.462501,32.744828,439.288617934,26944.082842622
2160,1189.02,-116.460697,32.748484,439.288617934,27383.371460556
2180,1189.75,-116.455246,32.749304,320.108412025,27703.479872581
2200,1205.53,-116.452845,32.747251,320.108412025,28023.588284606
2220,1233.53,-116.449412,32.746496,332.454316627,28356.042601233
2240,1251.98,-116.445296,32.748933,398.608883395,28754.651484628
2260,1279.64,-116.44256,32.751685,398.608883395,29153.260368023
2280,1298.91,-116.43915,32.757056,635.353303043,29788.613671066
2300,1296.18,-116.438292,32.762739,450.773777309,30239.387448375
2320,1312.27,-116.439465,32.766681,450.773777309,30690.161225684
2340,1345.53,-116.439049,32.770988,400.578840886,31090.74006657
2360,1374.87,-116.439439,32.774585,177.444716085,31268.184782655
2380,1416.29,-116.437625,32.775045,177.444716085,31445.62949874
2400,1467.9,-116.437352,32.779658,451.295689421,31896.925188161
2420,1502.58,-116.436189,32.783607,451.295689421,32348.220877582
2440,1476.93,-116.434301,32.788291,258.479617346,32606.700494928
2460,1499.74,-116.431545,32.788405,258.479617346,32865.180112274
2480,1561.84,-116.427903,32.789691,369.774292074,33234.954404348
2500,1601.66,-116.426749,32.793992,319.144509736,33554.098914084
2520,1612.06,-116.426277,32.796842,319.144509736,33873.24342382
2540,1616.05,-116.422986,32.799618,379.644537671,34252.887961491
2560,1621.43,-116.421543,32.802817,379.644537672,34632.532499163
2580,1608.67,-116.422958,32.807874,532.741808257,35165.27430742
2600,1592.46,-116.421009,32.812387,532.741808257,35698.016115677
