id,elev,lat,lon
187,739.91,-116.484727,32.60731
188,739.94,-116.48476,32.607233
189,740.64,-116.484727,32.607032
190,740.51,-116.484749,32.606977
191,735.68,-116.484998,32.606815
192,733.79,-116.485144,32.60663
193,733.52,-116.485327,32.606569
194,733.06,-116.485384,32.606589
195,730.54,-116.485397,32.606697
196,731.64,-116.485525,32.606873
197,731.88,-116.485515,32.606932
198,732.13,-116.485573,32.607024
199,738.2,-116.485888,32.607137
200,738,-116.485912,32.607089
201,738.07,-116.486026,32.607072
202,737.81,-116.486378,32.606905
203,737.49,-116.486601,32.606617
204,737.49,-116.48693,32.60628
205,739.88,-116.487253,32.606075
206,741.82,-116.48792,32.60622
207,742.46,-116.487986,32.606255
208,742.7,-116.488119,32.606237
209,743.57,-116.488215,32.606273
210,744.47,-116.488283,32.606361
211,743.68,-116.488396,32.606393
212,743.81,-116.488412,32.60642
213,745.47,-116.488364,32.606703
214,747.41,-116.48844,32.606938
215,748.88,-116.488864,32.607005
216,750.94,-116.489084,32.607188
217,751.39,-116.489261,32.607263
218,752.08,-116.489349,32.607366
219,751.72,-116.489467,32.60744
220,755.66,-116.489588,32.607626
221,756.25,-116.489822,32.607741
222,755.45,-116.489895,32.607721
223,757.6,-116.490211,32.607933
224,757.89,-116.490222,32.607979
225,757.58,-116.490309,32.607965
226,758.96,-116.490343,32.608026
227,759.1,-116.490443,32.608098
228,759.97,-116.490501,32.608079
229,760.48,-116.490519,32.607911
230,760.4,-116.490631,32.60799
231,760.92,-116.490718,32.608106
232,761.87,-116.490779,32.608263
233,761.24,-116.490931,32.608299
234,761.92,-116.491062,32.608575
235,763.29,-116.491152,32.608634
236,766.16,-116.491136,32.608278
237,763.87,-116.491049,32.608151
238,764.99,-116.490985,32.607906
239,765.5,-116.490916,32.607773
240,765.55,-116.490916,32.60773
241,765.05,-116.491022,32.607721
242,764.86,-116.491054,32.607693
243,765.66,-116.490983,32.60754
244,765.8,-116.491056,32.607447
245,766.24,-116.491256,32.607355
246,767.31,-116.491632,32.607352
247,766.98,-116.491663,32.607318
248,766.57,-116.491546,32.607257
249,767.21,-116.491509,32.607172
250,768.42,-116.491537,32.607094
251,767.3,-116.491491,32.606973
252,768.35,-116.491496,32.606791
253,769.38,-116.491646,32.606708
254,769.1,-116.491732,32.606411
255,770.45,-116.491873,32.606381
256,769.1,-116.491903,32.606268
257,769.44,-116.492073,32.606193
258,770.89,-116.492239,32.606188
259,770.82,-116.49251,32.606119
260,770.48,-116.492673,32.606129
261,771.21,-116.492733,32.606036
262,771.84,-116.492942,32.606039
263,771.3,-116.492958,32.605967
264,771.71,-116.493054,32.605939
265,770.45,-116.493032,32.605908
266,768.42,-116.492786,32.605856
267,770.49,-116.492707,32.605783
268,769.64,-116.492498,32.605669
269,770.46,-116.492347,32.6055
270,771.53,-116.492373,32.605245
271,772.15,-116.492429,32.605217
272,773.03,-116.492583,32.605223
273,772.83,-116.492656,32.6051
274,773.19,-116.49273,32.605103
275,772.87,-116.492954,32.604975
276,773.92,-116.493242,32.604942
277,773.04,-116.493669,32.604982
278,772.51,-116.493792,32.605039
279,772.19,-116.493917,32.605053
280,771.11,-116.494036,32.605026
281,769.74,-116.49416,32.605114
282,771.53,-116.494195,32.605255
283,771.04,-116.494461,32.605253
284,771.06,-116.494647,32.605296
285,769.96,-116.494746,32.605144
286,768.49,-116.494852,32.605161
287,767.43,-116.494919,32.605235
288,768.31,-116.494929,32.60543
289,767.9,-116.495023,32.605398
290,766.63,-116.495268,32.605233
291,766.56,-116.495334,32.605146
292,765.65,-116.495321,32.605087
293,765.78,-116.495349,32.605081
294,765.08,-116.49559,32.605208
295,764.91,-116.4956,32.605273
296,765.77,-116.49552,32.605477
297,767.04,-116.495417,32.605564
298,767.13,-116.495456,32.605609
299,768.55,-116.495686,32.605551
300,770.15,-116.49586,32.605554
301,767.41,-116.496058,32.605516
302,765.08,-116.496244,32.60555
303,764.2,-116.496352,32.605599
304,763.44,-116.496385,32.605683
305,763.5,-116.496274,32.605971
306,761.65,-116.496536,32.606034
307,761.94,-116.496786,32.606029
308,761.19,-116.496818,32.605952
309,760.07,-116.496925,32.605889
310,759.07,-116.496948,32.605753
311,757.52,-116.497061,32.605661
312,756.39,-116.497172,32.605671
313,756.8,-116.497292,32.605742
314,757.31,-116.497329,32.605811
315,755.53,-116.497339,32.605964
316,754.89,-116.497464,32.606095
317,752.45,-116.497624,32.605987
318,751.61,-116.497685,32.605984
319,751.47,-116.497748,32.606074
320,751.05,-116.497706,32.606274
321,750.31,-116.497722,32.606427
322,749.21,-116.497901,32.606611
323,746.81,-116.498039,32.606708
324,747.44,-116.498007,32.606735
325,748.64,-116.498,32.606881
326,748.37,-116.498036,32.606892
327,748.94,-116.498162,32.606824
328,750.12,-116.498257,32.606823
329,749.71,-116.498284,32.606795
330,746.57,-116.498277,32.606655
331,747.73,-116.498382,32.606563
332,745.94,-116.498597,32.606489
333,745.34,-116.498683,32.606476
334,741.81,-116.498757,32.606643
335,742.44,-116.498762,32.606743
336,744.24,-116.498817,32.60677
337,743.93,-116.498854,32.606695
338,744.07,-116.498984,32.606621
339,744.08,-116.49916,32.60662
340,742.79,-116.499181,32.606543
341,741.74,-116.499323,32.606528
342,740.95,-116.499431,32.606555
343,738.46,-116.499405,32.606647
344,733.4,-116.499414,32.606837
345,733.67,-116.499294,32.606926
346,730.41,-116.499309,32.606962
347,728.72,-116.499246,32.607024
348,730.67,-116.499145,32.607088
349,729.76,-116.499076,32.607244
350,724.72,-116.498973,32.607889
351,724.09,-116.499003,32.608002
352,730.09,-116.499184,32.607981
353,724.29,-116.499337,32.607681
354,723.01,-116.499347,32.607509
355,722.74,-116.499533,32.607263
356,723.79,-116.499731,32.607174
357,723.61,-116.499819,32.607082
358,724.59,-116.49996,32.607022
359,724.77,-116.500039,32.606954
360,724.31,-116.500123,32.606935
361,723.36,-116.500264,32.607045
362,722.44,-116.500362,32.607023
363,721.92,-116.500443,32.606921
364,722.52,-116.500552,32.606861
365,723.35,-116.500665,32.606935
366,723.73,-116.500709,32.607011
367,725.78,-116.501517,32.607087
368,727.28,-116.501562,32.607384
369,727.97,-116.501665,32.607428
370,729.21,-116.501794,32.607387
371,730.58,-116.501921,32.607455
372,730.33,-116.501857,32.607582
373,730.48,-116.501872,32.607645
374,731.75,-116.501972,32.607654
375,732.92,-116.502035,32.607713
376,733.35,-116.501908,32.607821
377,734.26,-116.501973,32.60793
378,736.3,-116.50231,32.607915
379,734.77,-116.502311,32.607731
380,735.27,-116.502352,32.607717
381,735.38,-116.502504,32.607786
382,735.75,-116.502565,32.607771
383,737.39,-116.502817,32.607648
384,739.61,-116.503043,32.607494
385,740.5,-116.503151,32.607464
386,741.63,-116.503271,32.60747
387,744.71,-116.503605,32.607617
388,745.16,-116.503702,32.607545
389,747.93,-116.503858,32.607515
390,748.63,-116.503899,32.6076
391,749.41,-116.503893,32.607728
392,751.3,-116.504042,32.607858
393,752.55,-116.504107,32.608006
394,753.3,-116.504111,32.608087
395,753.86,-116.504021,32.608135
396,754.53,-116.503997,32.608215
397,757.01,-116.504041,32.608454
398,756.25,-116.503961,32.608574
399,755.91,-116.503987,32.608648
400,758.43,-116.504246,32.608644
401,761.19,-116.504491,32.608751
402,761.86,-116.504398,32.608828
403,765.2,-116.504463,32.609075
404,766.44,-116.504383,32.609284
405,766.06,-116.504286,32.609357
406,766.88,-116.504165,32.609398
407,768.1,-116.504054,32.609555
408,769.12,-116.504143,32.609657
409,770.06,-116.504325,32.609495
410,771.69,-116.50445,32.609483
411,771.19,-116.504562,32.60943
412,771.28,-116.504631,32.609382
413,771.33,-116.504681,32.609289
414,772.5,-116.50481,32.609314
415,772.78,-116.505006,32.60916
416,773.09,-116.50513,32.60915
417,775.66,-116.505308,32.609206
418,775.21,-116.505363,32.609165
419,774.19,-116.505439,32.609165
420,774.66,-116.505478,32.609214
421,773.17,-116.505592,32.609211
422,771.95,-116.505775,32.609306
423,776,-116.505856,32.609519
424,775.49,-116.505964,32.609623
425,775.35,-116.506036,32.610059
426,776.87,-116.506102,32.610075
427,777.22,-116.50622,32.609843
428,779.45,-116.506504,32.609748
429,779.86,-116.50662,32.609573
430,780.12,-116.506637,32.609393
431,780.03,-116.506667,32.609317
432,780.23,-116.506747,32.60925
433,780.74,-116.506727,32.609056
434,782.54,-116.506809,32.608883
435,782.2,-116.506926,32.608467
436,784.11,-116.507126,32.608281
437,785.68,-116.507201,32.60825
438,788.63,-116.507188,32.60832
439,787.68,-116.506997,32.608497
440,787.25,-116.50693,32.60872
