DBA,BORO,ZIPCODE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE
HAPPY GARDEN PALACE,1,10002,20,2014-02-12 00:00:00,U,04L,18,Z
HAPPY GARDEN PALACE,1,10002,20,2014-02-12 00:00:00,U,06D,18,Z
CHELSEA THAI,1,10011,82,2014-02-12 00:00:00,D,10F,10,A
ATOMIC WINGS,1,10018,18,2014-02-12 00:00:00,D,08A,10,A
MY CORAL RESTAURANT,3,11220,53,2014-02-12 00:00:00,O,10F,12,Z
MALAY BAKERY,3,11228,20,2014-02-12 00:00:00,D,02B,10,A
LOS POLLITOS,3,11209,55,2014-02-12 00:00:00,D,10F,7,A
SYD'S SERIOUS SANDWICH SHOP,3,11216,3,2014-02-12 00:00:00,D,10F,7,A
LOS POLLITOS,3,11209,55,2014-02-12 00:00:00,D,06C,7,A
TROPICAL JADE GARDEN RESTAURANT,4,11419,20,2014-02-12 00:00:00,U,02B,16,Z
EURO PIZZA,2,10456,62,2014-02-12 00:00:00,D,04M,9,A
REFRIED BEANS,1,10033,55,2014-02-12 00:00:00,D,06D,12,A
EURO PIZZA,2,10456,62,2014-02-12 00:00:00,D,08A,9,A
BREAD PLUS,3,11214,8,2014-02-12 00:00:00,D,06C,12,A
REFRIED BEANS,1,10033,55,2014-02-12 00:00:00,D,10F,12,A
FOREVER TASTE RESTAURANT,1,10002,20,2014-02-12 00:00:00,D,06D,10,A
TNT BAKERS DELIGHT RESTAURANT,3,11225,8,2014-02-12 00:00:00,D,04L,11,A
CAFE BOULUD/BAR PLEIADES,1,10021,35,2014-02-12 00:00:00,D,10F,10,A
100 FUN BILLIARD,3,11219,20,2014-02-12 00:00:00,D,10F,12,A
TRINI GUL ORIGINAL ROTI  & WEST INDIAN FOOD,3,11216,17,2014-02-12 00:00:00,D,06D,7,A
KOFTE PIYAZ RESTAURANT,3,11232,83,2014-02-12 00:00:00,D,02G,12,A
MEDICAL ARTS SANITARIUM,4,11366,3,2014-02-12 00:00:00,D,08A,13,A
HAAGEN-DAZS,1,10023,43,2014-02-12 00:00:00,D,06C,12,A
HAAGEN-DAZS,1,10023,43,2014-02-12 00:00:00,D,10H,12,A
MCDONALDS,1,10037,3,2014-02-12 00:00:00,D,10F,4,A
M S HAN SONG TING,4,11354,20,2014-02-12 00:00:00,U,10D,19,Z
CAFE CON LECHE,1,10024,53,2014-02-12 00:00:00,D,10B,10,A
HEART OF INDIA,1,10003,44,2014-02-12 00:00:00,U,04L,18,Z
BELLA NAPOLI,1,10019,48,2014-02-12 00:00:00,F,04L,50,Z
MUSTANG CAFE,1,10018,3,2014-02-12 00:00:00,U,02B,18,Z
2 BROS PIZZA,3,11201,62,2014-02-12 00:00:00,D,02G,13,A
2 BROS PIZZA,3,11201,62,2014-02-12 00:00:00,D,06D,13,A
MUSTANG CAFE,1,10018,3,2014-02-12 00:00:00,U,08A,18,Z
BELLA NAPOLI,1,10019,48,2014-02-12 00:00:00,F,04J,50,Z
EAST DRAGON,4,11373,20,2014-02-12 00:00:00,D,06D,13,A
J G DELI GROCERY,1,10016,53,2014-02-12 00:00:00,U,06F,27,Z
CAFE CON LECHE,1,10024,53,2014-02-12 00:00:00,D,10F,10,A
CATCH,1,10014,72,2014-02-12 00:00:00,F,08A,39,Z
CATCH,1,10014,72,2014-02-12 00:00:00,F,10B,39,Z
MY CORAL RESTAURANT,3,11220,53,2014-02-12 00:00:00,O,08A,12,Z
CATCH,1,10014,72,2014-02-12 00:00:00,F,10H,39,Z
BELLA NAPOLI,1,10019,48,2014-02-12 00:00:00,F,02G,50,Z
ATOMIC WINGS,1,10018,18,2014-02-12 00:00:00,D,04L,10,A
CATCH,1,10014,72,2014-02-12 00:00:00,F,04C,39,Z
BERGEN PIZZA,3,11217,62,2014-02-12 00:00:00,D,10F,12,A
BERGEN PIZZA,3,11217,62,2014-02-12 00:00:00,D,10J,12,A
PRODIGY COFFEE,1,10014,14,2014-02-12 00:00:00,D,08A,9,A
GINO'S VILLA MONTE,5,10314,3,2014-02-12 00:00:00,D,06D,13,A
GINO'S VILLA MONTE,5,10314,3,2014-02-12 00:00:00,D,10H,13,A
DUCALE RESTAURANT,4,11357,48,2014-02-12 00:00:00,D,06C,8,A
DUCALE RESTAURANT,4,11357,48,2014-02-12 00:00:00,D,10F,8,A
"HUMRO BHIM'S CAFE,",4,11372,44,2014-02-12 00:00:00,D,10F,7,A
ZOOB ZIB THAI/AURA,1,10018,82,2014-02-12 00:00:00,F,02G,38,Z
ZOOB ZIB THAI/AURA,1,10018,82,2014-02-12 00:00:00,F,06D,38,Z
TROPICAL JADE GARDEN RESTAURANT,4,11419,20,2014-02-12 00:00:00,U,06D,16,Z
SYD'S SERIOUS SANDWICH SHOP,3,11216,3,2014-02-12 00:00:00,D,08C,7,A
SYD'S SERIOUS SANDWICH SHOP,3,11216,3,2014-02-12 00:00:00,D,10E,7,A
ZOOB ZIB THAI/AURA,1,10018,82,2014-02-12 00:00:00,F,04K,38,Z
ZOOB ZIB THAI/AURA,1,10018,82,2014-02-12 00:00:00,F,06C,38,Z
ZOOB ZIB THAI/AURA,1,10018,82,2014-02-12 00:00:00,F,08A,38,Z
FOREVER TASTE RESTAURANT,1,10002,20,2014-02-12 00:00:00,D,10F,10,A
HOWARD BEACH BAGEL CAFE,4,11414,27,2014-02-12 00:00:00,D,10F,12,A
TNT BAKERS DELIGHT RESTAURANT,3,11225,8,2014-02-12 00:00:00,D,04K,11,A
KUSHI Q,1,10022,49,2014-02-12 00:00:00,D,02B,8,A
JUMBO CHINESE KITCHEN,4,11418,20,2014-02-12 00:00:00,F,08A,44,Z
TNT BAKERS DELIGHT RESTAURANT,3,11225,8,2014-02-12 00:00:00,D,08A,11,A
THE HUMUS SHOP,1,10002,56,2014-02-12 00:00:00,D,06E,7,A
B & B RESTAURANT II,1,10037,3,2014-02-12 00:00:00,D,10D,13,A
B & B RESTAURANT II,1,10037,3,2014-02-12 00:00:00,D,10E,13,A
HOWARD BEACH BAGEL CAFE,4,11414,27,2014-02-12 00:00:00,D,02G,12,A
BAHAR MASALA,3,11230,1,2014-02-12 00:00:00,O,10B,6,Z
CLARKSON,1,10014,3,2014-02-12 00:00:00,U,04A,26,Z
Imperial Palace,4,11354,20,2014-02-12 00:00:00,F,04C,32,Z
RICHIE RICH CARIBBEAN TASTE II,2,10469,17,2014-02-12 00:00:00,D,02B,13,A
SNAKS (AT SAKS),1,10022,3,2014-02-12 00:00:00,D,09B,9,A
RAIN THAI RESTAURANT,1,10022,82,2014-02-12 00:00:00,D,02G,13,A
SUBWAY,3,11226,3,2014-02-12 00:00:00,U,04L,20,Z
SUBWAY,3,11226,3,2014-02-12 00:00:00,U,05D,20,Z
KONO,4,11355,52,2014-02-12 00:00:00,D,08A,10,A
SPASSO,1,10014,48,2014-02-12 00:00:00,D,06D,13,A
SPASSO,1,10014,48,2014-02-12 00:00:00,D,10F,13,A
RAIN THAI RESTAURANT,1,10022,82,2014-02-12 00:00:00,D,06C,13,A
TANG PAVILION,1,10019,20,2014-02-12 00:00:00,D,10F,4,A
ANDY'S DELI,1,10007,3,2014-02-12 00:00:00,U,02G,16,Z
CLARKSON,1,10014,3,2014-02-12 00:00:00,U,04L,26,Z
CLARKSON,1,10014,3,2014-02-12 00:00:00,U,10F,26,Z
ALEX CAFE & DELI,1,10021,3,2014-02-12 00:00:00,U,08A,26,Z
HUNAN CHEN'S KITCHEN,1,10025,20,2014-02-12 00:00:00,U,08A,19,Z
EURO CAFE,4,11430,3,2014-02-12 00:00:00,D,10J,4,A
WEST ELM MARKET,3,11201,14,2014-02-12 00:00:00,U,08A,15,Z
KOFFEECAKE CORNER,1,10001,14,2014-02-12 00:00:00,D,10F,10,A
BENCH SPORT BAR,3,11209,3,2014-02-12 00:00:00,D,10C,8,A
KOFTE PIYAZ RESTAURANT,3,11232,83,2014-02-12 00:00:00,D,06C,12,A
JOHN'S SHANGHAI,1,10036,20,2014-02-12 00:00:00,U,10D,18,Z
STEINWAY RESTAURANT,4,11369,3,2014-02-12 00:00:00,D,10F,5,A
HUNAN CHEN'S KITCHEN,1,10025,20,2014-02-12 00:00:00,U,06C,19,Z
MASON & MUG,3,11238,84,2014-02-12 00:00:00,D,06C,13,A
MCDONALDS,1,10037,3,2014-02-12 00:00:00,D,10B,4,A
JEEPNEY,1,10003,34,2014-02-12 00:00:00,D,10F,13,A
M S HAN SONG TING,4,11354,20,2014-02-12 00:00:00,U,02B,19,Z
M S HAN SONG TING,4,11354,20,2014-02-12 00:00:00,U,08A,19,Z
20 TWENTY RESTAURANT,1,10007,53,2014-02-12 00:00:00,D,10H,2,A
KOFFEECAKE CORNER,1,10001,14,2014-02-12 00:00:00,D,06D,10,A
SICHUAN CUISINE,4,11354,20,2014-02-12 00:00:00,F,02G,36,Z
SICHUAN CUISINE,4,11354,20,2014-02-12 00:00:00,F,03A,36,Z
SICHUAN CUISINE,4,11354,20,2014-02-12 00:00:00,F,04A,36,Z
PAULANER BRAUHAUS,1,10002,37,2014-02-12 00:00:00,U,06C,23,Z
STIFF WEASEL GRILL + DELI,2,10463,3,2014-02-12 00:00:00,D,08A,11,A
PAULANER BRAUHAUS,1,10002,37,2014-02-12 00:00:00,U,06D,23,Z
CAFE CON LECHE,1,10024,53,2014-02-12 00:00:00,D,06F,10,A
Emilia's Pizzeria,4,11103,62,2014-02-12 00:00:00,D,02G,10,A
DOWNTOWN ALE HOUSE,3,11201,3,2014-02-12 00:00:00,F,10A,36,Z
FLUTE EAST,1,10022,35,2014-02-12 00:00:00,D,10H,7,A
FLUTE EAST,1,10022,35,2014-02-12 00:00:00,D,10I,7,A
CRYSTAL CONFECTIONERY CORNER,1,10038,21,2014-02-12 00:00:00,D,10E,4,A
POPEYES,4,11413,3,2014-02-12 00:00:00,B,,,A
THAI CAFE,3,11222,82,2014-02-12 00:00:00,D,10F,7,A
JEEPNEY,1,10003,34,2014-02-12 00:00:00,D,06F,13,A
A-JIAO SICHUAN CUISINE,1,10128,20,2014-02-12 00:00:00,D,06C,12,A
BELLA NAPOLI,1,10019,48,2014-02-12 00:00:00,F,06E,50,Z
A-JIAO SICHUAN CUISINE,1,10128,20,2014-02-12 00:00:00,D,06D,12,A
K BAGEL CAFE,3,11222,14,2014-02-12 00:00:00,D,06E,7,A
SICHUAN CUISINE,4,11354,20,2014-02-12 00:00:00,F,10F,36,Z
J G DELI GROCERY,1,10016,53,2014-02-12 00:00:00,U,02B,27,Z
J G DELI GROCERY,1,10016,53,2014-02-12 00:00:00,U,04M,27,Z
BELLA NAPOLI,1,10019,48,2014-02-12 00:00:00,F,02H,50,Z
BELLA NAPOLI,1,10019,48,2014-02-12 00:00:00,F,08A,50,Z
DOWNTOWN ALE HOUSE,3,11201,3,2014-02-12 00:00:00,F,04H,36,Z
DOWNTOWN ALE HOUSE,3,11201,3,2014-02-12 00:00:00,F,08A,36,Z
FLUTE EAST,1,10022,35,2014-02-12 00:00:00,D,10F,7,A
J G DELI GROCERY,1,10016,53,2014-02-12 00:00:00,U,08A,27,Z
EAST DRAGON,4,11373,20,2014-02-12 00:00:00,D,06B,13,A
MOMOFUKO MILK BAR UWS,1,10024,14,2014-02-12 00:00:00,D,10F,2,A
J G DELI GROCERY,1,10016,53,2014-02-12 00:00:00,U,06D,27,Z
CATCH,1,10014,72,2014-02-12 00:00:00,F,04N,39,Z
CATCH,1,10014,72,2014-02-12 00:00:00,F,10E,39,Z
CATCH,1,10014,72,2014-02-12 00:00:00,F,06A,39,Z
STARZ BANQUET HALL,4,11413,17,2014-02-12 00:00:00,D,05D,10,A
NEW CHEN'S GARDEN,5,10312,20,2014-02-12 00:00:00,D,06B,7,A
"HUMRO BHIM'S CAFE,",4,11372,44,2014-02-12 00:00:00,D,06C,7,A
NEW CHEN'S GARDEN,5,10312,20,2014-02-12 00:00:00,D,10F,7,A
GINO'S VILLA MONTE,5,10314,3,2014-02-12 00:00:00,D,10F,13,A
ZOOB ZIB THAI/AURA,1,10018,82,2014-02-12 00:00:00,F,02B,38,Z
ZOOB ZIB THAI/AURA,1,10018,82,2014-02-12 00:00:00,F,10F,38,Z
KIM HUA,2,10451,20,2014-02-12 00:00:00,D,02G,12,A
L&J TAVERN,2,10455,77,2014-02-12 00:00:00,D,04L,11,A
KIM HUA,2,10451,20,2014-02-12 00:00:00,D,06C,12,A
JUMBO CHINESE KITCHEN,4,11418,20,2014-02-12 00:00:00,F,10F,44,Z
NEW KISSENA CHINESE FOOD,4,11355,20,2014-02-12 00:00:00,D,06D,7,A
NEW KISSENA CHINESE FOOD,4,11355,20,2014-02-12 00:00:00,D,10F,7,A
THE HUMUS SHOP,1,10002,56,2014-02-12 00:00:00,D,10F,7,A
RICHIE RICH CARIBBEAN TASTE II,2,10469,17,2014-02-12 00:00:00,D,10B,13,A
YOGURT CITY,3,11223,43,2014-02-12 00:00:00,D,10F,12,A
RICHIE RICH CARIBBEAN TASTE II,2,10469,17,2014-02-12 00:00:00,D,10H,13,A
KONO,4,11355,52,2014-02-12 00:00:00,D,04L,10,A
L&J TAVERN,2,10455,77,2014-02-12 00:00:00,D,08A,11,A
SUBWAY,3,11226,3,2014-02-12 00:00:00,U,08A,20,Z
JUMBO CHINESE KITCHEN,4,11418,20,2014-02-12 00:00:00,F,04M,44,Z
DUNKIN DONUTS BASKIN ROBBINS,1,10036,29,2014-02-12 00:00:00,D,10A,10,A
ALEX CAFE & DELI,1,10021,3,2014-02-12 00:00:00,U,04L,26,Z
ALEX CAFE & DELI,1,10021,3,2014-02-12 00:00:00,U,06C,26,Z
ALEX CAFE & DELI,1,10021,3,2014-02-12 00:00:00,U,09C,26,Z
WEST ELM MARKET,3,11201,14,2014-02-12 00:00:00,U,10H,15,Z
Imperial Palace,4,11354,20,2014-02-12 00:00:00,F,08A,32,Z
CLARKSON,1,10014,3,2014-02-12 00:00:00,U,08A,26,Z
DUNKIN DONUTS BASKIN ROBBINS,1,10036,29,2014-02-12 00:00:00,D,06E,10,A
DUNKIN DONUTS BASKIN ROBBINS,1,10036,29,2014-02-12 00:00:00,D,10E,10,A
ALEX CAFE & DELI,1,10021,3,2014-02-12 00:00:00,U,02G,26,Z
SNAKS (AT SAKS),1,10022,3,2014-02-12 00:00:00,D,06C,9,A
SNAKS (AT SAKS),1,10022,3,2014-02-12 00:00:00,D,10F,9,A
Imperial Palace,4,11354,20,2014-02-12 00:00:00,F,02G,32,Z
Imperial Palace,4,11354,20,2014-02-12 00:00:00,F,06B,32,Z
NEW RANCHITO,1,10025,77,2014-02-12 00:00:00,D,10F,10,A
WEST ELM MARKET,3,11201,14,2014-02-12 00:00:00,U,04L,15,Z
WEST ELM MARKET,3,11201,14,2014-02-12 00:00:00,U,10J,15,Z
TANG PAVILION,1,10019,20,2014-02-12 00:00:00,D,10A,4,A
HUNAN CHEN'S KITCHEN,1,10025,20,2014-02-12 00:00:00,U,04L,19,Z
NEW RANCHITO,1,10025,77,2014-02-12 00:00:00,D,06C,10,A
JOHN'S SHANGHAI,1,10036,20,2014-02-12 00:00:00,U,02G,18,Z
LOGAN'S CAFE,4,11357,3,2014-02-12 00:00:00,D,02G,12,A
STEINWAY RESTAURANT,4,11369,3,2014-02-12 00:00:00,D,10J,5,A
CRYSTAL CONFECTIONERY CORNER,1,10038,21,2014-02-12 00:00:00,D,10F,4,A
MASON & MUG,3,11238,84,2014-02-12 00:00:00,D,09C,13,A
MASON & MUG,3,11238,84,2014-02-12 00:00:00,D,10F,13,A
BENCH SPORT BAR,3,11209,3,2014-02-12 00:00:00,D,10F,8,A
SICHUAN CUISINE,4,11354,20,2014-02-12 00:00:00,F,06A,36,Z
JEEPNEY,1,10003,34,2014-02-12 00:00:00,D,06C,13,A
CROWN FRIED CHICKEN,1,10035,18,2014-02-12 00:00:00,D,10F,5,A
Emilia's Pizzeria,4,11103,62,2014-02-12 00:00:00,D,10F,10,A
THE AVENUE,2,10470,47,2014-02-12 00:00:00,D,04J,8,A
K BAGEL CAFE,3,11222,14,2014-02-12 00:00:00,D,09C,7,A
STIFF WEASEL GRILL + DELI,2,10463,3,2014-02-12 00:00:00,D,04L,11,A
PAULANER BRAUHAUS,1,10002,37,2014-02-12 00:00:00,U,08A,23,Z
PAULANER BRAUHAUS,1,10002,37,2014-02-12 00:00:00,U,10I,23,Z
SICHUAN CUISINE,4,11354,20,2014-02-12 00:00:00,F,09C,36,Z
PAULANER BRAUHAUS,1,10002,37,2014-02-12 00:00:00,U,04L,23,Z
ASIA KING RESTAURANT,4,11374,20,2014-02-12 00:00:00,D,02G,12,A
DOWNTOWN ALE HOUSE,3,11201,3,2014-02-12 00:00:00,F,02G,36,Z
DOWNTOWN ALE HOUSE,3,11201,3,2014-02-12 00:00:00,F,04L,36,Z
DOWNTOWN ALE HOUSE,3,11201,3,2014-02-12 00:00:00,F,06C,36,Z
KENNEDY FRIED CHICKEN,2,10456,18,2014-02-12 00:00:00,D,04C,12,A
KENNEDY FRIED CHICKEN,2,10456,18,2014-02-12 00:00:00,D,06E,12,A
FORTUNE BAKERY,3,11220,20,2014-02-12 00:00:00,U,06A,17,Z
FORTUNE BAKERY,3,11220,20,2014-02-12 00:00:00,U,06C,17,Z
GOLDEN KRUST,4,11413,17,2014-02-12 00:00:00,D,10E,9,A
GOLDEN KRUST,4,11413,17,2014-02-12 00:00:00,D,02B,9,A
FORTUNE BAKERY,3,11220,20,2014-02-12 00:00:00,U,02G,17,Z
KENNEDY FRIED CHICKEN & PIZZA,2,10470,18,2014-02-12 00:00:00,D,04L,11,A
KENNEDY FRIED CHICKEN & PIZZA,2,10470,18,2014-02-12 00:00:00,D,08A,11,A
OLYMPIC RESTAURANT,1,10002,3,2014-02-12 00:00:00,D,08A,12,A
THE RESTAURANT,4,11693,3,2014-02-12 00:00:00,U,04L,21,Z
THE RESTAURANT,4,11693,3,2014-02-12 00:00:00,U,08A,21,Z
VINCENT'S PIZZERIA,3,11232,63,2014-02-12 00:00:00,F,04M,40,Z
STARBUCKS COFFEE,4,11375,14,2014-02-12 00:00:00,D,10F,2,A
EMPIRE WOK KITCHEN,4,11694,20,2014-02-12 00:00:00,U,06D,24,Z
EMPIRE WOK KITCHEN,4,11694,20,2014-02-12 00:00:00,U,08A,24,Z
SHANGAI CUISINE,1,10013,20,2014-02-12 00:00:00,U,04K,25,Z
SHANGAI CUISINE,1,10013,20,2014-02-12 00:00:00,U,10A,25,Z
KERRY HILLS PUB,4,11694,47,2014-02-12 00:00:00,D,04L,13,A
TIBERIO DIMARE,4,11694,48,2014-02-12 00:00:00,D,10F,7,A
ULYSSES,1,10004,3,2014-02-12 00:00:00,D,10A,10,A
KENNEDY FRIED CHICKEN,2,10456,18,2014-02-12 00:00:00,D,06F,7,A
KEY BAR,1,10009,3,2014-02-12 00:00:00,D,10F,7,A
KABIN BAR & LOUNGE,1,10003,3,2014-02-12 00:00:00,U,06D,25,Z
LAGUARDIA PLAZA HOTEL/PAVILLION GRILL,4,11369,3,2014-02-12 00:00:00,D,10I,11,A
PARADISE BAR,4,11385,3,2014-02-12 00:00:00,U,04L,21,Z
CROWN FRIED CHICKEN,4,11413,3,2014-02-12 00:00:00,D,10B,9,A
KOODO SUSHI,1,10005,22,2014-02-12 00:00:00,U,06D,25,Z
COLD STONE CREAMERY,3,11217,43,2014-02-12 00:00:00,F,10F,29,Z
BAGEL WORLD,3,11205,7,2014-02-12 00:00:00,D,10B,4,A
ST JAMES GATE,1,10024,3,2014-02-12 00:00:00,D,04L,12,A
EAST PACIFIC,5,10314,5,2014-02-12 00:00:00,F,04L,33,Z
EAST PACIFIC,5,10314,5,2014-02-12 00:00:00,F,10F,33,Z
CORNERSTONE TAVERN/THE STAG'S HEAD,1,10022,47,2014-02-12 00:00:00,D,10H,9,A
IL POETA,4,11375,48,2014-02-12 00:00:00,D,10F,12,A
DUNKIN' DONUTS,3,11209,29,2014-02-12 00:00:00,D,10E,2,A
GHANG THAI KITCHEN,3,11201,82,2014-02-12 00:00:00,D,06F,11,A
GHANG THAI KITCHEN,3,11201,82,2014-02-12 00:00:00,D,09C,11,A
GHANG THAI KITCHEN,3,11201,82,2014-02-12 00:00:00,D,10F,11,A
SCHNITZEL EXPRESS,1,10018,50,2014-02-12 00:00:00,D,06D,5,A
SILVER KRUST WEST INDIAN RESTAURANT,3,11216,17,2014-02-12 00:00:00,D,04L,12,A
SILVER KRUST WEST INDIAN RESTAURANT,3,11216,17,2014-02-12 00:00:00,D,10D,12,A
100 FUN BILLIARD,3,11219,20,2014-02-12 00:00:00,D,04A,12,A
MY CORAL RESTAURANT,3,11220,53,2014-02-12 00:00:00,O,04L,12,Z
BERGEN PIZZA,3,11217,62,2014-02-12 00:00:00,D,04H,12,A
TROPICAL JADE GARDEN RESTAURANT,4,11419,20,2014-02-12 00:00:00,U,10F,16,Z
FOREVER TASTE RESTAURANT,1,10002,20,2014-02-12 00:00:00,D,10J,10,A
SPASSO,1,10014,48,2014-02-12 00:00:00,D,06A,13,A
HAAGEN-DAZS,1,10023,43,2014-02-12 00:00:00,D,10B,12,A
EVELYN'S KITCHEN,1,10035,3,2014-02-12 00:00:00,D,10F,5,A
M S HAN SONG TING,4,11354,20,2014-02-12 00:00:00,U,04M,19,Z
BELLA NAPOLI,1,10019,48,2014-02-12 00:00:00,F,02B,50,Z
EAST DRAGON,4,11373,20,2014-02-12 00:00:00,D,10F,13,A
CATCH,1,10014,72,2014-02-12 00:00:00,F,02G,39,Z
PRODIGY COFFEE,1,10014,14,2014-02-12 00:00:00,D,04L,9,A
MANDARIN HOUSE,3,11234,20,2014-02-12 00:00:00,D,06A,5,A
BAHAR MASALA,3,11230,1,2014-02-12 00:00:00,O,10F,6,Z
RICHIE RICH CARIBBEAN TASTE II,2,10469,17,2014-02-12 00:00:00,D,10F,13,A
YOGURT CITY,3,11223,43,2014-02-12 00:00:00,D,05D,12,A
JUMBO CHINESE KITCHEN,4,11418,20,2014-02-12 00:00:00,F,02G,44,Z
B & B RESTAURANT II,1,10037,3,2014-02-12 00:00:00,D,04N,13,A
B & B RESTAURANT II,1,10037,3,2014-02-12 00:00:00,D,08A,13,A
ANDY'S DELI,1,10007,3,2014-02-12 00:00:00,U,02B,16,Z
PANDA BAKERY,2,11232,8,2014-02-12 00:00:00,D,02B,7,A
Imperial Palace,4,11354,20,2014-02-12 00:00:00,F,04M,32,Z
JOHN'S SHANGHAI,1,10036,20,2014-02-12 00:00:00,U,04L,18,Z
JOHN'S SHANGHAI,1,10036,20,2014-02-12 00:00:00,U,10F,18,Z
HUNAN CHEN'S KITCHEN,1,10025,20,2014-02-12 00:00:00,U,04M,19,Z
LOGAN'S CAFE,4,11357,3,2014-02-12 00:00:00,D,10F,12,A
EURO CAFE,4,11430,3,2014-02-12 00:00:00,D,10F,4,A
ASIA KING RESTAURANT,4,11374,20,2014-02-12 00:00:00,D,06D,12,A
FIVE GUYS BURGERS AND FRIES,3,11209,3,2014-02-12 00:00:00,D,10F,4,A
DOWNTOWN ALE HOUSE,3,11201,3,2014-02-12 00:00:00,F,06D,36,Z
THAI CAFE,3,11222,82,2014-02-12 00:00:00,D,06F,7,A
A-JIAO SICHUAN CUISINE,1,10128,20,2014-02-12 00:00:00,D,10F,12,A
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,F,02G,34,
SERENDIPITY 3,1,10022,3,2014-02-12 00:00:00,P,06D,16,
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,F,08C,34,
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,F,10F,34,
JUNIOR'S,3,11201,3,2014-02-12 00:00:00,P,06A,22,
SERENDIPITY 3,1,10022,3,2014-02-12 00:00:00,P,04L,16,
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,D,15L,,
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,F,08A,34,
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,F,10B,34,
JUNIOR'S,3,11201,3,2014-02-12 00:00:00,P,02H,22,
SERENDIPITY 3,1,10022,3,2014-02-12 00:00:00,P,08A,16,
SUNRISE COFFEE SHOP,4,11355,3,2014-02-12 00:00:00,P,08A,18,
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,F,16B,,
MARCHIS RESTAURANT,1,10016,48,2014-02-12 00:00:00,D,15L,,
MARCHIS RESTAURANT,1,10016,48,2014-02-12 00:00:00,P,02G,22,
MARCHIS RESTAURANT,1,10016,48,2014-02-12 00:00:00,P,06A,22,
MARCHIS RESTAURANT,1,10016,48,2014-02-12 00:00:00,P,10H,22,
NAOMI KOSHER PIZZA,4,11367,50,2014-02-12 00:00:00,P,02B,24,
NAOMI KOSHER PIZZA,4,11367,50,2014-02-12 00:00:00,P,04L,24,
MCDONALD'S,3,11201,39,2014-02-12 00:00:00,P,10B,18,
TOUT VA BIEN,1,10019,35,2014-02-12 00:00:00,F,02B,34,
JUNIOR'S,3,11201,3,2014-02-12 00:00:00,P,10F,22,
MCDONALD'S,3,11201,39,2014-02-12 00:00:00,P,04L,18,
EAST RIVER COFFEE SHOP,4,11101,3,2014-02-12 00:00:00,F,10F,31,
NAOMI KOSHER PIZZA,4,11367,50,2014-02-12 00:00:00,P,08A,24,
NAOMI KOSHER PIZZA,4,11367,50,2014-02-12 00:00:00,P,09C,24,
MCDONALD'S,3,11201,39,2014-02-12 00:00:00,P,08A,18,
EAST RIVER COFFEE SHOP,4,11101,3,2014-02-12 00:00:00,F,02G,31,
EAST RIVER COFFEE SHOP,4,11101,3,2014-02-12 00:00:00,F,06C,31,
J & R PIZZA,3,11229,62,2014-02-12 00:00:00,P,04L,23,
J & R PIZZA,3,11229,62,2014-02-12 00:00:00,P,08A,23,
HIGHWAY BAGELS,3,11229,7,2014-02-12 00:00:00,P,06F,21,
MCDONALD'S,3,11201,39,2014-02-12 00:00:00,P,02G,18,
EAST RIVER COFFEE SHOP,4,11101,3,2014-02-12 00:00:00,F,04J,31,
EAST RIVER COFFEE SHOP,4,11101,3,2014-02-12 00:00:00,F,10D,31,
J & R PIZZA,3,11229,62,2014-02-12 00:00:00,P,02B,23,
MCDONALD'S,4,11103,39,2014-02-12 00:00:00,F,04A,30,
MCDONALD'S,4,11103,39,2014-02-12 00:00:00,F,10F,30,
MCDONALD'S,4,11103,39,2014-02-12 00:00:00,F,02G,30,
MCDONALD'S,4,11103,39,2014-02-12 00:00:00,F,04J,30,
J & R PIZZA,3,11229,62,2014-02-12 00:00:00,P,02G,23,
SUNRISE COFFEE SHOP,4,11355,3,2014-02-12 00:00:00,P,04M,18,
THE RESTAURANT,4,11693,3,2014-02-12 00:00:00,F,16B,,
SUNRISE COFFEE SHOP,4,11355,3,2014-02-12 00:00:00,P,06C,18,
SUNRISE COFFEE SHOP,4,11355,3,2014-02-12 00:00:00,P,10F,18,
CONCOURSE JAMAICAN BAKERY,2,10456,17,2014-02-12 00:00:00,P,02B,22,
CONCOURSE JAMAICAN BAKERY,2,10456,17,2014-02-12 00:00:00,P,04L,22,
DI LUVIO'S DELI,4,11101,3,2014-02-12 00:00:00,P,10I,16,
DI LUVIO'S DELI,4,11101,3,2014-02-12 00:00:00,P,06C,16,
HIGHWAY BAGELS,3,11229,7,2014-02-12 00:00:00,P,02G,21,
HIGHWAY BAGELS,3,11229,7,2014-02-12 00:00:00,P,10F,21,
TEQUILA SUNRISE,4,11101,55,2014-02-12 00:00:00,F,02G,43,
TEQUILA SUNRISE,4,11101,55,2014-02-12 00:00:00,F,06D,43,
TEQUILA SUNRISE,4,11101,55,2014-02-12 00:00:00,F,06E,43,
CONCOURSE JAMAICAN BAKERY,2,10456,17,2014-02-12 00:00:00,P,08A,22,
